type;percentage_perturbation;kappa
Keyboard;0.01;0.6558686278486812
Keyboard;0.05;0.12815310762853505
Keyboard;0.1;0.039140143087504575
Ocr;0.01;0.685643315200096
Ocr;0.05;0.2068752825772724
Ocr;0.1;0.1419645657397064
SpellingError;0.01;0.7294226825315333
SpellingError;0.05;0.3046051081621819
SpellingError;0.1;0.23820640151878214
Typos;0.01;0.6746305487402062
Typos;0.05;0.1617620317747005
Typos;0.1;0.06874140400751616
